Simulation,Halo_ID,B/A_max_prob,B/A_mean,B/A_std,B/A_16th,B/A_50th,B/A_84th,C/A_max_prob,C/A_mean,C/A_std,C/A_16th,C/A_50th,C/A_84th,sigmaB_max_prob,sigmaB_mean,sigmaB_std,sigmaB_16th,sigmaB_50th,sigmaB_84th,sigmaC_max_prob,sigmaC_mean,sigmaC_std,sigmaC_16th,sigmaC_50th,sigmaC_84th
cptmarvel.cosmo25cmb.4096g5HbwK1BH,1,0.858594945108833,0.8232905492902979,0.06239088275377578,0.7481372188591118,0.8559773738517069,0.8589551325562295,0.2499766886869694,0.2728674860444383,0.04632689978135743,0.24935476146786525,0.2509575283786974,0.31577958427503966,0.0035050019881315442,0.09929706515552084,0.16907617487344334,0.001815601244117366,0.004362979428083119,0.31616667210347593,0.027337161330270105,0.0749795719216589,0.12040534123501148,0.02648399628183707,0.027853467034685175,0.10169907370196934
cptmarvel.cosmo25cmb.4096g5HbwK1BH,2,0.8317932923935996,0.8011258282474787,0.04839019434215716,0.7358359998958454,0.8268669124885899,0.8329967988431284,0.16512762982776719,0.19782381542326885,0.05616885410720281,0.16509568373109776,0.16643508273104926,0.27789298057965756,0.11022540050379158,0.14475822531022503,0.1106456033410651,0.10338367488920644,0.11027353437864154,0.18512446599519233,0.011807584919289243,0.08532296039431048,0.15002188836903632,0.011469711377218576,0.012955617549317148,0.2262842808850951
cptmarvel.cosmo25cmb.4096g5HbwK1BH,3,0.4728311594632186,0.4844699198126121,0.031216175246190175,0.4710777754282505,0.4727634242151735,0.4916444238219395,0.28089656058427453,0.2934882033996102,0.03379623710461066,0.28065075331137285,0.2815021792670271,0.2959367532539182,0.021545402897197148,0.05835851983433909,0.09366685359226154,0.018814137156977065,0.021487821517031738,0.06180612377539195,0.0008055838037592299,0.028203243863748676,0.0884615005642832,0.00030962347479471133,0.0010181662925150595,0.0027312529409166436
cptmarvel.cosmo25cmb.4096g5HbwK1BH,5,0.9019508820316233,0.897583677285466,0.03472394215651004,0.8723263886417275,0.9019856210398552,0.9110246120532005,0.7354844354537684,0.7597339642602345,0.04099648150900962,0.7352427229730665,0.7363217630722497,0.8055161118097955,0.0009172564416348688,0.06523430562150226,0.10012664899140476,0.001332990506063226,0.0032095795039173394,0.16160502404319818,0.0060022867452088225,0.09251971898184527,0.1494214906720629,0.0008095021334550041,0.005585612701803666,0.3263546157804175
cptmarvel.cosmo25cmb.4096g5HbwK1BH,6,0.8408226318481334,0.8574433951351295,0.0365971794117337,0.8402334726294964,0.8428037519083261,0.8992016456834786,0.7118019390634976,0.7362031352136633,0.04218986101876718,0.711480949695083,0.7126435982370474,0.7869459807207123,0.001101595645405907,0.07482245495287623,0.1143282973911894,0.0028174948402500013,0.00787240435981619,0.20080407132657177,0.012229081428564444,0.07283864082838686,0.11906416250319313,0.010556706508814715,0.013012113123789271,0.19900271355068747
cptmarvel.cosmo25cmb.4096g5HbwK1BH,7,0.6057462818717936,0.6046018649202031,0.027778864567635005,0.602769193020496,0.6054657661773467,0.6086954277314381,0.24295071941268034,0.2701363436775507,0.05289358504801672,0.2431173582484547,0.24464727983379145,0.3126435150181609,0.0005280867791338218,0.05258560260403607,0.11904687852187422,0.0015970241905265362,0.0069786326656320705,0.06270771033414278,0.0031588613255164218,0.09372827055308879,0.1660972221123891,0.002654699356532449,0.003812806672260801,0.3401333849407371
cptmarvel.cosmo25cmb.4096g5HbwK1BH,8,0.6819002567859095,0.7370236698392063,0.08403226532897105,0.6785447058199864,0.6850032282667683,0.834647201499562,0.6392730419495356,0.6531446863204475,0.03571685108727358,0.6392983272648921,0.6395422014684505,0.6903256801405108,0.027661095014931223,0.08618989317971686,0.12208323908333817,0.0013380898138318012,0.028127812261998463,0.2136699728946428,1.6382885203839056e-05,0.03956040127402722,0.1044596479033732,0.0,0.0006494415625074287,0.009470706212491265
cptmarvel.cosmo25cmb.4096g5HbwK1BH,10,0.9333171712290556,0.9277591557555442,0.033807510074611205,0.9059193542973012,0.9251383859767924,0.954113909676733,0.8854601244858167,0.8784265153587665,0.027221562820258245,0.8466196332421975,0.8850969248993646,0.9021392314955231,0.02609602687149893,0.07739443494721522,0.12397225766584326,0.0,0.017160945866665108,0.160410138207908,0.0013066733676920473,0.08646468461199364,0.12042066193809961,0.0,0.0019285490854612473,0.22476002589703337
elektra.cosmo25cmb.4096g5HbwK1BH,1,0.41144013212465125,0.4312593222182129,0.03912700854002385,0.40976278581350484,0.41408368506843857,0.46453765364353683,0.15334707319645946,0.1743655835367189,0.04218912437301546,0.15190327254102054,0.1539658160302667,0.23124105538041032,0.07527914250125474,0.1049991992147822,0.08234837821306207,0.07103264531289452,0.07408088922603977,0.1590668067659795,0.017131875615661946,0.08872616786600193,0.1318500226288014,0.014484204152226402,0.017608854801778113,0.2537018129252268
elektra.cosmo25cmb.4096g5HbwK1BH,2,0.7564097412123812,0.7682963822723015,0.029094732111876687,0.7521543954796199,0.7608854404304477,0.7987360673605292,0.5760473970581623,0.603137567710061,0.04647020208338906,0.5756687929591409,0.5770147053178944,0.6646967702031609,0.03255693621767739,0.09147274904564107,0.11713495369657455,0.025684563524387874,0.031754371322018374,0.23816934456864441,0.005307253223043946,0.08131581304907924,0.13330625741505459,0.00319137398134802,0.005894100193109845,0.24149119100296682
elektra.cosmo25cmb.4096g5HbwK1BH,3,0.47991518165956837,0.5076177849345267,0.043398703513700614,0.48020834329630635,0.48309248366872926,0.5666982203257751,0.17149532498196476,0.2046999412209753,0.05895940941784352,0.17041435240178787,0.17190091916332517,0.2864155123230695,0.03960024501390136,0.11308577937003061,0.14233023416009088,0.038886122791452114,0.04209180505945559,0.25970705702751395,0.014643386122232113,0.09050390720556685,0.14820447022996483,0.014668018154662761,0.016133181268620525,0.31827456922780406
