Simulation,Halo_ID,B/A_max_prob,B/A_mean,B/A_std,B/A_16th,B/A_50th,B/A_84th,C/A_max_prob,C/A_mean,C/A_std,C/A_16th,C/A_50th,C/A_84th,sigmaB_max_prob,sigmaB_mean,sigmaB_std,sigmaB_16th,sigmaB_50th,sigmaB_84th,sigmaC_max_prob,sigmaC_mean,sigmaC_std,sigmaC_16th,sigmaC_50th,sigmaC_84th
m11d_res7100,1,0.3624916201443406,0.44115614480064413,0.11136712377677631,0.3602903910202157,0.36309554348133827,0.5926419711814824,0.317127360272407,0.31520610128016674,0.034993078480341874,0.310997296025235,0.31745944162192624,0.3231650669413244,0.006478895945809774,0.09139678340828818,0.15690664261328316,0.002841680459187118,0.011759479484698302,0.2900948055033335,0.0023494910561405813,0.08859552218353213,0.14888456757734064,0.0014872224293443156,0.004899538738543127,0.24927800032162428
m11d_res7100,2,0.7751726114860953,0.7978477602027073,0.037840680198130486,0.7751726114860953,0.7871649735833464,0.8139805238202031,0.5387713556062762,0.5586511131342515,0.04659719105680934,0.5264566791393497,0.5356535220097025,0.6200599057596065,0.04405025170479932,0.10776360695207615,0.11648197262321733,0.03949270267490518,0.04956500503997076,0.23769408714376702,0.06524804929402594,0.1002162378091904,0.08340927167795412,0.0497579567815714,0.06101460221628767,0.19140069199371235
m11d_res7100,4,0.6674289099538564,0.7326577716533001,0.09281861452940691,0.6634760939094247,0.6693804516318231,0.8432620451322328,0.6144711064169047,0.6222116135581113,0.02670769074420377,0.6117055251249517,0.6170534820633365,0.6322573653304924,0.014290522063466333,0.06805909009678843,0.10480244098021374,0.008380750045709354,0.017085916291925792,0.20684699006188528,0.008214516258558822,0.07102605037323863,0.13696709435679966,0.0010274020394551494,0.008538303646519604,0.28833992319248325
m11b_res2100,1,0.7962370344059108,0.7878049908236834,0.039326664767388546,0.7756732631833838,0.7967168159153648,0.8099108847509714,0.3572423497796068,0.38011726405638524,0.04552108860444867,0.3555680105153039,0.3600426851727223,0.4267911741832994,0.051080116268671295,0.13434113357648098,0.12223092111761774,0.053441504252019434,0.0766897276466712,0.2648783852586957,0.01398394639240257,0.06505347914738929,0.13079355701347464,0.006222185349220593,0.015095168042943296,0.14000218308784843
m11e_res7100,1,0.3834185241898894,0.42056094026064067,0.05866394451471625,0.3825529021204553,0.3866156617047427,0.4974627937409083,0.23305041552449443,0.24480947677513246,0.034929648344063174,0.23206467242616877,0.23377617771290637,0.2699927868597413,0.00519220496130789,0.0767687445711059,0.13262353215493733,0.0013665650336520015,0.006501649031297727,0.27904892530464276,0.00227317826632597,0.04784623454160792,0.0972564394349927,0.0006922640557949777,0.004491231659320801,0.15734840186981763
m11e_res7100,2,0.6458755759735977,0.6630976588530394,0.03308015070328046,0.6439147593316185,0.6473554173794047,0.6979491618305298,0.48244432630139444,0.5047645840556572,0.03957356533223705,0.4820306158776875,0.4845789776100976,0.5347801077744299,0.0067789019931306935,0.06745307673235237,0.12132042661890471,0.0031435093800357855,0.00827292324941633,0.22348651330850144,0.0016352745622272415,0.06414263598746182,0.12340910794892879,0.00043875368005798655,0.002568499654254195,0.22792114327798596
m11h_res7100,1,0.6410012920762086,0.6590426114822597,0.03789397482950661,0.6342276883461685,0.6537623913841654,0.6761057880277901,0.22214866089434168,0.2500755164080592,0.05335629207932095,0.21367595823690796,0.22214866089434168,0.31437549459402453,0.1351484522213375,0.16424341781270535,0.1127254821306852,0.10408011043957816,0.1306782676999727,0.2239600045293287,0.03686905104024841,0.1264578131820369,0.1559696849206574,0.027825422041857888,0.03770011301357823,0.3528957216779469
m11i_res7100,1,0.5885159169726891,0.6161084465081195,0.056226500902083976,0.5787628887214032,0.5873209967159482,0.6852174364781437,0.4315025318937776,0.46018001138473835,0.048958927689868904,0.4290822768828736,0.4336638519426693,0.537943578377,0.03674587755184584,0.0923503610802192,0.11708479714994889,0.028271265955682356,0.03692594311337456,0.22258995242628182,0.018699659929574224,0.07861564077460152,0.14457266908912844,0.005987975311662312,0.018728501588700194,0.18826528024139083
m11q_res880,1,0.5552521983133524,0.5844286136387123,0.05342938029667051,0.5460820245529416,0.5597390311887808,0.6399293822502271,0.363172314119158,0.3724213820487852,0.03192604993152169,0.35950557250301884,0.36290009982854815,0.39044520220484785,0.10946252139845279,0.1251432132307333,0.08519525797203958,0.08647545151163583,0.10474703586377088,0.20724686026884656,0.012073457289096309,0.09656563004075938,0.1456595033870484,0.008816116176808607,0.012719316228352673,0.30030778852688533
m11q_res880,2,0.5851615464792522,0.6151971658357139,0.05647870433138348,0.5820362732024628,0.5868361063182779,0.6774245428647809,0.4128570142079671,0.440406907655459,0.050880487450933556,0.41158679505482465,0.41441513712842504,0.5048795414883013,0.007729677805546599,0.058127488553696545,0.1161728300092171,0.001990210534017982,0.011460368501831967,0.12295147168690118,0.004917491831950361,0.07359621498674573,0.13810683036194915,0.0008756074733385875,0.005108070367685364,0.23286763814404016
