Simulation,Halo_ID,B/A_max_prob,B/A_mean,B/A_std,B/A_16th,B/A_50th,B/A_84th,C/A_max_prob,C/A_mean,C/A_std,C/A_16th,C/A_50th,C/A_84th,sigmaB_max_prob,sigmaB_mean,sigmaB_std,sigmaB_16th,sigmaB_50th,sigmaB_84th,sigmaC_max_prob,sigmaC_mean,sigmaC_std,sigmaC_16th,sigmaC_50th,sigmaC_84th
cptmarvel.cosmo25cmb.4096g5HbwK1BH,1,0.8576321796423131,0.8236416805660922,0.06293396295769413,0.7481372188591118,0.8568666148868382,0.8596360519865273,0.25142037424525965,0.273134946929892,0.04633013930570254,0.24929714991773066,0.251151775455056,0.31968348958988546,0.004583591668002233,0.09936550100413079,0.16932311694874033,0.0016487768534696736,0.00388496217764113,0.31616667210347593,0.02893176303108659,0.07526523613792974,0.12032011902275795,0.02687724152223904,0.028237425393363238,0.11142848370087954
cptmarvel.cosmo25cmb.4096g5HbwK1BH,2,0.8388028499566238,0.8019884794846374,0.04888352653338008,0.7358359998958454,0.8275791002142922,0.8349484274545386,0.16742510981972425,0.19797890605355276,0.05608101829970265,0.1653252027411228,0.16657275134019808,0.27789298057965756,0.10607097190523732,0.14507134208516895,0.11052685564511365,0.10458237699270853,0.11040611591906035,0.18512446599519233,0.012855394909631938,0.08514113193082387,0.150109858297999,0.011288794922968443,0.012570589863626871,0.2262842808850951
cptmarvel.cosmo25cmb.4096g5HbwK1BH,3,0.47412373557018633,0.483645326848252,0.03153881967237833,0.46983086690152687,0.47186270643661343,0.4916444238219395,0.28016885791671947,0.2934396544957098,0.03381960580143286,0.2806183479935154,0.28139294584024205,0.2959367532539182,0.017160738205866284,0.05909285632345094,0.09337857077304094,0.019775867337755652,0.02240228504412675,0.06180612377539195,0.00020252269935926853,0.028308855257688177,0.08842891484165467,0.0006006484373918431,0.0010887573485950765,0.002355026279306294
cptmarvel.cosmo25cmb.4096g5HbwK1BH,5,0.9018502192887414,0.8975267504284243,0.034645769409307955,0.8723263886417275,0.9017364154068332,0.9110246120532005,0.7356649193089871,0.7594198376089615,0.04082961503763554,0.7351576851535494,0.7364614649814567,0.8055161118097955,0.0012973224062873667,0.06450304666963265,0.1002357734223771,0.0005932086100373045,0.0029367794531489585,0.16160502404319818,0.006448537328656949,0.09295438709007622,0.1491605148548181,0.0017074703216868612,0.006083638503667816,0.3263546157804175
cptmarvel.cosmo25cmb.4096g5HbwK1BH,6,0.8415819749095855,0.8573953658090944,0.03661319136649786,0.839967475809604,0.8427704827638075,0.8992016456834786,0.7124210425089426,0.7373387798645846,0.042719393143993895,0.7113144130768885,0.7123437892871254,0.7911946209001418,0.0027608437390994047,0.07442425872739619,0.11457070971625967,0.002461524163497407,0.007272013009580554,0.20080407132657177,0.012928857489398154,0.07457086662529755,0.11913154562083117,0.009830444327695812,0.012731980702064554,0.19900271355068747
cptmarvel.cosmo25cmb.4096g5HbwK1BH,7,0.6040264996098569,0.6047638814638755,0.027885049325094717,0.6029428843968943,0.6058407838101162,0.6084255134846782,0.24454143390750593,0.27131910022691685,0.05239725549122476,0.24443820510357883,0.24624715999355287,0.3126435150181609,0.00055428398540001,0.05298606741147918,0.12011290044684515,0.0011669377731438287,0.006218801741835235,0.06270771033414278,0.00409088680707073,0.0943033131647644,0.16578518042070456,0.0031967695317724736,0.004747131292989508,0.3401333849407371
cptmarvel.cosmo25cmb.4096g5HbwK1BH,8,0.6848357170121403,0.7351469234120515,0.07736659218716806,0.6825190912378837,0.6853666102794507,0.8313556474170234,0.6393445617539301,0.6524691497114642,0.036184126460019006,0.6392754302247179,0.6395148934573157,0.6903256801405108,0.02977460971201164,0.08883011824089874,0.12100049345261907,0.0018337799570705311,0.028879454668088507,0.2136699728946428,0.0003401090182994617,0.04126686774916514,0.1063175076813398,0.0,0.00048809160063847696,0.008386306200932843
cptmarvel.cosmo25cmb.4096g5HbwK1BH,10,0.920928450342011,0.9315935273700753,0.036172501894282075,0.9059193542973012,0.9296973939776548,0.9676014517173578,0.88723149954932,0.8789493024193576,0.027386404542666415,0.8466196332421975,0.8853028379566663,0.9022846869797183,0.011249144055684748,0.07672278894586249,0.12425371859547728,0.0,0.014190375793357432,0.160410138207908,0.0018146265198020622,0.086102902049126,0.12054102976474487,0.0,0.0019082499226731888,0.22476002589703337
elektra.cosmo25cmb.4096g5HbwK1BH,1,0.412178036954762,0.4321727343674741,0.03869992629793491,0.41121107928209644,0.4157204674076045,0.46453765364353683,0.15441962362084946,0.17473269187518922,0.04200888295874673,0.15231180477240672,0.15439258706806316,0.23124105538041032,0.0743846299577912,0.10476257631716597,0.08242790533067805,0.07075743955665638,0.07395003885178279,0.1590668067659795,0.016423138847033402,0.08889046217356436,0.13175871769491332,0.015122452129394478,0.017557651831202656,0.2537018129252268
elektra.cosmo25cmb.4096g5HbwK1BH,2,0.7545824864845028,0.7685769568149787,0.0290716463903961,0.7507455374668335,0.7613822905907289,0.7987360673605292,0.5761627732094134,0.6028751157454688,0.04661723488184987,0.5751961648255699,0.5766526877831721,0.6646967702031609,0.03159598610840598,0.09208153773974322,0.11680483822835822,0.026439801047362495,0.03250168779822847,0.23816934456864441,0.006547477747421267,0.08189270829081013,0.13302480954796247,0.004519559582419299,0.00685564036553709,0.24149119100296682
